PID,Player_Name,Last_Update_Date
90031,Abdul Samad,2023-01-13
90656,Abhimanyu Easwaran,2023-01-13
90658,Abhinav Sadarangani,2023-01-13
90033,Abhishek Sharma,2023-01-13
90043,Adam Milne,2023-01-13
90054,Ajinkya Rahane,2023-01-13
90050,Akash Deep,2023-01-13
90666,Akash Madhwal,2023-01-13
90038,Alex Hales,2023-01-13
90072,Alzarri Joseph,2023-01-13
90056,Aman Hakim Khan,2023-01-13
90078,Ambati Rayudu,2023-01-13
90042,Andre Russell,2023-01-13
90048,Andrew Tye,2023-01-13
90681,Aneeshwar Gautam,2023-01-13
90073,Ankit Rajpoot,2023-01-13
90063,Anmolpreet Singh,2023-01-13
90015,Anrich Nortje,2023-01-13
90684,Ansh Patel,2023-01-13
90064,Anuj Rawat,2023-01-13
90075,Anukul Roy,2023-01-13
90686,Anunay Singh,2023-01-13
90688,Apoorv Wankhade,2023-01-13
90690,Arjun Tendulkar,2023-01-13
90071,Arshdeep Singh,2023-01-13
90693,Aryan Juyal,2023-01-13
90696,Ashok Sharma,2023-01-13
90699,Ashwin Hebbar,2023-01-13
90700,Atharva Taide,2023-01-13
90081,Avesh Khan,2023-01-13
90018,Avijeet Tomar,2023-01-13
90070,Axar Patel,2023-01-13
90002,Ayush Badoni,2023-01-13
90090,B Sai Sudharshan,2023-01-13
90086,Baba Indrajith,2023-01-13
90705,Baltej Singh,2023-01-13
90706,Bandaru Ayyappa,2023-01-13
90099,Barinder Sran,2023-01-13
90095,Basil Thampi,2023-01-13
90710,Benny Howell,2023-01-13
90422,Bhanuka Rajapaksa,2023-01-13
90087,Bhuvneshwar Kumar,2023-01-13
90719,Chama Milind,2023-01-13
90720,Chamika Karunaratne,2023-01-13
90114,Chetan Sakariya,2023-01-13
90721,Chezhian Harinishanth,2023-01-13
90170,Daniel Sams,2023-01-13
90147,Darshan Nalkande,2023-01-13
90155,Daryl Mitchell,2023-01-13
90141,David Miller,2023-01-13
90142,David Warner,2023-01-13
90161,Deepak Chahar,2023-01-13
90151,Deepak Hooda,2023-01-13
90137,Devdutt Padikkal,2023-01-13
90173,Dhawal Kulkarni,2023-01-13
90730,Dhruv Jurel,2023-01-13
90281,Dinesh Karthik,2023-01-13
90733,Dominic Drakes,2023-01-13
90736,Duan Jansen,2023-01-13
90437,Dushmantha Chameera,2023-01-13
90149,Dwayne Bravo,2023-01-13
90178,Evin Lewis,2023-01-13
90183,Fabian Allen,2023-01-13
90739,Finn Allen,2023-01-13
90182,Francois du Plessis,2023-01-13
90197,Glenn Maxwell,2023-01-13
90193,Glenn Phillips,2023-01-13
90749,Gurinder Singh,2023-01-13
90200,Gurkeerat Singh,2023-01-13
90194,Hanuma Vihari,2023-01-13
90211,Hardik Pandya,2023-01-13
90752,Harishankar Reddy,2023-01-13
90205,Harpreet Brar,2023-01-13
90214,Harshal Patel,2023-01-13
90756,Haseeb Hameed,2023-01-13
90213,Hrithik Shokeen,2023-01-13
90224,Ish Sodhi,2023-01-13
90762,Ishan Kishan,2023-01-13
90219,Ishan Porel,2023-01-13
90228,Jagadeesha Suchith,2023-01-13
90255,Jason Behrendorff,2023-01-13
90253,Jason Holder,2023-01-13
90246,Jason Roy,2023-01-13
90245,Jasprit Bumrah,2023-01-13
90231,Jayant Yadav,2023-01-13
90239,Jaydev Unadkat,2023-01-13
90241,Jimmy Neesham,2023-01-13
90252,Jitesh Sharma,2023-01-13
90236,Jofra Archer,2023-01-13
90250,Jonny Bairstow,2023-01-13
90237,Jos Buttler,2023-01-13
